,action1,action3,action5
556,26.0,26.0,25.5
557,26.0,26.0,25.5
558,26.0,26.0,25.5
559,26.0,26.0,25.5
560,26.0,26.0,25.5
561,26.0,26.0,25.5
562,26.0,26.0,25.5
563,26.0,26.0,25.5
564,26.0,26.0,25.5
565,25.5,27.0,26.5
566,25.5,27.0,26.5
567,25.5,27.0,26.5
568,25.5,27.0,26.5
569,25.5,27.0,26.5
570,25.5,27.0,26.5
571,26.5,25.5,26.0
572,26.5,25.5,26.0
573,26.5,25.5,26.0
574,26.5,25.5,26.0
575,26.5,25.5,26.0
576,26.5,25.5,26.0
577,26.0,25.5,25.0
578,26.0,25.5,25.0
579,26.5,25.5,26.0
580,26.5,25.5,26.0
581,25.5,25.0,26.0
582,25.5,25.0,26.0
583,25.5,25.0,26.0
584,25.5,25.0,26.0
585,25.5,25.0,26.0
586,25.5,25.0,26.0
587,25.5,25.0,26.0
588,25.5,25.0,26.0
589,25.5,25.0,26.0
590,25.5,25.0,26.0
591,25.5,25.0,26.0
592,25.5,25.0,26.0
593,25.0,25.0,25.0
594,25.0,25.0,25.0
595,25.0,25.0,25.0
596,25.0,25.0,25.0
597,25.0,25.0,25.0
598,25.0,25.0,25.0
599,25.0,25.0,25.0
600,25.0,25.0,25.0
601,25.0,25.0,25.0
602,25.0,25.0,25.0
603,25.0,25.0,25.0
604,25.0,25.0,25.0
605,25.0,25.0,25.0
606,25.0,25.0,25.0
607,25.0,25.0,25.0
608,25.0,25.0,25.0
609,25.0,25.0,25.0
610,25.0,25.0,25.0
611,25.0,25.0,25.0
612,25.0,25.0,25.0
613,25.0,25.0,25.0
614,25.0,25.0,25.0
615,25.0,25.0,25.0
616,25.0,25.0,25.0
617,25.0,25.0,25.0
618,25.0,25.0,25.0
619,25.0,25.0,25.0
620,25.0,25.0,25.0
621,25.0,25.0,25.0
622,25.0,25.0,25.0
623,25.0,25.0,25.0
624,25.0,25.0,25.0
625,25.0,25.0,25.0
626,25.0,25.0,25.0
627,25.0,25.0,25.0
628,25.0,25.0,25.0
629,25.5,25.5,25.5
630,25.5,25.5,25.5
631,25.5,25.5,25.5
632,25.5,25.5,25.5
633,25.5,25.5,25.5
634,25.5,25.5,25.5
635,25.5,25.5,25.5
636,25.5,25.5,25.5
637,25.5,25.5,25.5
638,25.0,25.0,25.0
639,25.0,25.0,25.0
640,25.0,25.0,25.0
641,25.0,25.0,25.0
642,25.0,25.0,25.0
643,25.0,25.0,25.0
644,26.5,25.5,25.0
645,26.5,25.5,25.0
646,26.5,25.5,25.0
647,27.0,25.5,26.0
648,27.0,25.5,26.0
649,27.0,25.5,26.0
650,27.0,25.5,26.0
651,27.0,25.5,26.0
652,27.0,25.5,26.0
653,27.0,25.5,26.0
654,27.0,25.5,26.0
655,27.0,25.5,26.0
656,27.0,25.5,26.0
657,25.5,25.5,26.0
658,25.5,25.5,26.0
659,25.5,25.5,26.0
660,25.5,25.5,26.0
661,25.5,25.5,26.0
662,25.5,25.5,26.0
663,26.5,25.5,25.5
664,26.5,25.5,25.5
665,26.5,25.5,25.5
666,26.5,25.5,25.5
667,25.5,26.5,26.5
668,25.5,26.5,26.5
669,25.5,26.5,26.5
670,25.5,27.0,25.5
671,25.5,27.0,25.5
672,25.5,27.0,25.5
673,25.0,24.5,27.0
674,25.0,24.5,27.0
675,25.0,24.5,27.0
676,25.0,24.5,27.0
677,25.0,24.5,27.0
678,25.0,26.0,25.5
679,25.0,26.0,25.5
680,25.0,26.0,25.5
681,25.5,26.0,26.5
682,25.5,26.0,26.5
683,25.5,26.0,26.5
684,25.5,26.0,26.5
685,25.5,26.0,26.5
686,25.5,26.0,26.5
687,25.5,26.0,26.5
688,25.5,26.0,26.5
689,25.5,26.0,26.5
690,25.5,26.0,26.5
691,25.0,24.5,27.0
692,25.0,24.5,27.0
693,25.0,24.5,27.0
694,25.0,24.5,27.0
695,25.0,24.5,27.0
696,25.0,24.5,27.0
697,25.0,24.5,27.0
698,25.0,24.5,27.0
699,25.0,24.5,27.0
700,25.0,24.5,27.0
701,25.5,26.0,26.0
702,25.5,26.0,26.0
703,26.0,25.5,25.5
704,26.0,25.5,25.5
705,26.0,25.5,25.5
706,26.0,25.5,25.5
707,26.0,25.5,25.5
708,26.0,25.5,25.5
709,26.0,25.5,25.5
710,26.0,25.5,25.5
711,25.0,26.5,25.0
712,25.0,26.5,25.0
713,25.0,26.5,25.0
714,25.0,26.5,25.0
715,25.0,26.5,25.0
716,25.0,26.5,25.0
717,25.0,26.5,25.0
718,25.0,26.5,25.0
719,25.0,26.5,25.0
720,26.0,26.0,25.5
721,26.0,26.0,25.5
722,26.5,25.0,26.0
723,26.5,25.0,26.0
724,26.5,25.0,26.0
725,26.5,25.0,26.0
726,25.5,25.5,25.5
727,25.5,25.5,25.5
728,25.5,25.5,25.5
729,25.5,25.5,25.5
730,26.0,25.5,26.0
731,26.0,25.5,26.0
732,26.0,25.5,26.0
733,25.5,26.5,26.0
734,25.5,26.5,26.0
735,25.5,26.5,26.0
736,27.0,25.5,27.0
737,27.0,25.5,27.0
738,27.0,25.5,27.0
739,27.0,25.5,27.0
740,27.0,25.5,27.0
741,26.0,26.0,27.0
742,26.0,26.0,27.0
743,26.0,26.0,27.0
744,26.0,26.0,26.0
745,26.0,26.0,26.0
746,26.0,26.0,26.0
747,26.0,26.0,26.0
748,26.0,26.0,26.0
749,26.0,26.0,26.0
750,26.0,26.0,26.0
751,26.0,25.5,25.5
752,25.0,25.5,25.5
753,25.0,25.5,25.5
754,25.0,25.5,25.5
755,25.0,25.5,25.5
756,25.0,25.5,25.5
757,25.0,25.5,25.5
758,25.0,25.5,25.5
759,25.0,25.5,25.5
760,25.0,25.5,25.5
761,25.0,25.5,25.5
762,25.0,25.5,25.5
763,27.0,26.5,25.5
764,27.0,26.5,25.5
765,27.0,26.5,25.5
766,27.0,26.5,25.5
767,27.0,26.5,25.5
768,27.0,26.5,25.5
769,27.0,26.5,25.5
770,25.5,25.5,25.0
771,25.5,25.5,25.5
772,25.5,25.5,25.5
773,25.5,25.5,25.5
774,25.5,25.5,25.5
775,25.5,25.5,25.5
776,25.5,26.0,26.0
777,25.5,26.0,26.0
778,25.5,26.0,26.0
779,25.5,26.0,26.0
780,25.5,26.0,26.0
781,25.5,26.0,26.0
782,25.5,26.0,26.0
783,25.5,26.0,25.5
784,25.5,25.0,25.0
785,25.5,25.0,25.0
786,25.5,25.0,25.0
787,25.5,25.0,25.0
788,25.5,25.0,25.0
789,25.5,25.0,25.0
790,25.5,25.0,25.0
791,25.5,25.0,25.0
792,26.0,26.0,27.0
793,26.0,26.0,27.0
794,26.0,26.0,27.0
795,26.0,26.0,27.0
796,26.0,26.0,27.0
