,action1,action2,action3
652,25.5,25.5,25.5
653,25.0,25.5,26.5
654,26.0,24.0,24.5
655,26.0,26.0,25.0
656,24.5,25.5,25.5
657,26.5,24.0,24.5
658,26.0,26.5,24.0
659,26.0,26.5,26.5
660,26.0,26.0,24.5
661,26.0,26.0,24.0
662,24.5,24.5,24.0
663,25.5,26.0,24.0
664,24.0,25.0,26.5
665,26.0,26.5,25.0
666,26.0,24.0,26.0
667,26.5,26.0,24.0
668,25.0,24.5,25.0
669,24.5,24.5,26.0
670,24.0,26.0,25.0
671,24.0,24.0,26.0
672,24.5,26.0,24.5
673,25.0,24.5,24.5
674,26.0,24.0,24.5
675,24.0,26.5,25.0
676,26.5,25.0,26.5
677,25.5,26.0,24.5
678,26.5,24.0,24.5
679,25.0,25.5,26.0
680,26.5,25.5,24.0
681,26.5,25.5,25.5
682,25.5,25.0,25.0
683,25.0,25.0,25.5
684,25.5,25.5,26.5
685,25.5,26.5,24.5
686,24.5,26.0,26.5
687,25.0,24.0,25.0
688,24.5,24.0,25.5
689,24.0,25.5,26.0
690,24.5,25.5,25.0
691,24.5,26.5,24.5
692,24.5,24.5,25.5
693,26.0,26.0,26.5
694,26.0,26.0,25.0
695,25.0,25.5,26.0
696,26.0,25.5,24.5
697,25.0,24.5,25.5
698,24.5,25.5,26.5
699,26.0,26.5,24.0
700,25.0,25.0,25.5
701,24.0,25.0,26.5
702,24.0,25.0,24.5
703,26.0,24.0,25.5
704,24.5,25.5,25.0
705,24.0,24.0,25.5
706,26.5,24.0,25.0
707,26.5,25.0,24.5
708,25.0,24.0,24.0
709,25.0,24.0,26.0
710,26.5,26.0,26.5
711,24.5,26.0,25.0
712,24.0,26.5,25.5
713,26.0,25.0,24.5
714,25.5,26.5,24.5
715,26.0,26.0,26.0
716,25.0,24.5,24.0
717,26.0,26.0,24.5
718,26.5,24.5,24.5
719,24.0,24.0,25.0
720,25.0,25.5,26.5
721,25.0,25.0,25.0
722,25.5,25.5,24.5
723,24.5,26.5,24.5
724,24.5,25.0,24.0
725,25.0,25.5,24.0
726,26.0,26.0,26.5
727,24.0,24.0,25.0
728,24.5,26.5,26.0
729,26.0,26.5,25.0
730,24.5,25.0,26.5
731,25.0,24.5,26.0
732,26.0,26.0,25.0
733,24.0,25.0,26.0
734,26.0,25.0,26.5
735,26.0,25.5,26.5
736,26.0,24.5,25.5
737,24.5,26.0,24.0
738,24.5,24.0,25.5
739,26.0,26.0,26.0
740,24.5,26.5,24.5
741,26.0,26.5,25.0
742,26.0,26.0,26.5
743,25.5,25.0,25.5
744,26.0,24.0,26.0
745,25.5,26.0,25.5
746,25.0,25.5,25.5
747,25.0,26.5,25.5
748,26.5,25.5,24.5
749,25.5,26.5,24.5
750,25.5,24.5,25.0
751,25.0,24.5,25.0
752,25.5,26.0,25.0
753,24.5,26.0,25.5
754,25.0,25.5,25.0
755,25.0,25.5,26.5
756,25.0,26.0,26.5
757,24.0,25.0,24.5
758,24.0,24.5,24.0
759,25.5,25.0,26.0
760,25.0,26.0,25.5
761,25.0,26.0,24.0
762,25.5,24.0,26.5
763,26.0,24.5,24.5
764,26.0,25.0,25.0
765,25.5,25.5,26.0
766,25.5,24.0,26.5
767,24.5,25.0,25.0
768,26.0,26.0,25.0
769,25.0,25.5,26.0
770,24.5,25.5,26.5
771,24.5,26.0,26.5
772,24.5,24.0,26.0
773,25.5,26.5,26.0
774,25.5,26.5,25.0
775,26.0,25.5,26.0
776,26.5,24.5,24.5
777,25.5,25.5,24.5
778,25.5,25.0,25.5
779,26.0,24.0,25.0
780,26.5,26.0,25.5
781,25.0,26.5,26.0
782,24.5,25.0,25.0
783,26.5,26.0,26.5
784,26.0,26.5,24.0
785,26.0,24.0,24.5
786,24.0,25.5,25.5
787,24.5,26.0,26.5
788,25.5,26.0,24.5
789,26.5,25.0,25.0
790,24.0,24.0,26.0
791,26.0,26.5,24.0
792,26.0,25.5,26.5
793,25.0,24.0,26.0
794,26.0,25.5,24.5
795,25.5,26.0,26.0
796,26.0,26.5,25.0
797,25.5,26.0,26.5
798,26.0,25.5,26.5
799,25.5,25.0,25.0
800,25.5,26.5,25.5
801,25.5,25.0,25.5
802,25.0,25.0,25.5
803,25.5,24.0,26.0
804,25.5,26.5,26.5
805,24.0,25.0,25.5
806,24.5,24.5,24.5
807,26.5,26.0,25.0
808,25.5,26.0,26.0
809,24.5,26.0,24.5
810,26.0,25.5,25.0
811,24.5,25.5,24.0
812,24.5,26.5,26.5
813,26.0,25.0,24.0
814,26.5,26.0,26.5
815,25.0,24.0,25.5
816,26.0,24.5,25.0
817,24.5,25.5,25.5
818,26.5,25.5,25.5
819,25.5,24.0,24.5
820,25.0,26.5,24.0
821,25.0,26.5,25.5
822,24.5,26.0,25.5
823,25.0,26.5,26.5
824,25.0,25.0,24.0
825,26.0,24.0,26.5
826,24.5,26.5,26.0
827,24.5,25.5,24.0
828,24.0,26.5,25.0
