0,1,2,3,4,5,6,7,8,9,10
1,6,131,0,9.13,198.06,113.88,113.88,113.88,113.88,76.3
1,6,132,0,9.96,238.03,136.87,136.87,136.87,136.87,71.9
1,6,133,0,10.93,774.72,278.81,707.2,291.94,278.81,68.5
1,6,134,0,12.1,232.3,133.57,133.57,133.57,133.57,66.7
1,6,135,0,13,187.8,107.99,107.99,107.99,107.99,66.9
1,6,136,0,12.79,125.99,72.44,72.44,72.44,72.44,68.7
1,6,137,0,12.25,183.12,65.9,289.42,395.25,65.9,71.8
1,6,138,0,11.51,0,0,0,0,0,75.4
1,6,139,0,10.68,0,0,0,0,0,79.1
1,6,140,0,9.9,0,0,0,0,0,82.6
1,6,141,0,9.26,0,0,0,0,0,85.3
1,6,142,0,8.74,0,0,0,0,0,87.4
1,6,143,0,8.27,0,0,0,0,0,89
1,7,144,0,7.79,0,0,0,0,0,90.6
1,7,145,0,7.26,0,0,0,0,0,92
1,7,146,0,6.6,0,0,0,0,0,93.7
1,7,147,0,5.8,0,0,0,0,0,95.1
1,7,148,0,4.94,0,0,0,0,0,97.2
1,7,149,0,4.17,0,0,0,0,0,98.8
1,7,150,0,3.62,0,0,0,0,0,99
1,7,151,0,3.4,0,0,0,0,0,99.2
1,7,152,0,3.5,10.58,6.08,6.08,6.08,6.08,97.5
1,7,153,0,3.89,150.57,297.29,228.94,50.24,50.24,93.5
1,7,154,0,4.62,290.14,322.41,331.75,96.82,96.82,88.3
1,7,155,0,5.73,201.78,116.02,116.02,116.02,116.02,82.1
1,7,156,0,7.26,497.43,253.27,479.59,165.99,165.99,76
1,7,157,0,9.24,523.04,174.54,497.63,184.46,174.54,70.7
1,7,158,0,11.7,236.6,136.05,136.05,136.05,136.05,66.8
1,7,159,0,13.6,392.67,131.04,405.69,315.09,131.04,64.7
1,7,160,0,13.43,128.5,73.89,73.89,73.89,73.89,64.4
1,7,161,0,12.97,124.18,41.44,209.96,290.61,41.44,65.4
1,7,162,0,12.31,0.06,0.03,0.03,0.03,0.03,67.4
1,7,163,0,11.56,0,0,0,0,0,70
1,7,164,0,10.8,0,0,0,0,0,72.8
1,7,165,0,10.11,0,0,0,0,0,75.5
1,7,166,0,9.49,0,0,0,0,0,78
1,7,167,0,8.95,0,0,0,0,0,80.2
1,8,168,0,8.45,0,0,0,0,0,82.6
1,8,169,0,8.01,0,0,0,0,0,84.6
1,8,170,0,7.6,0,0,0,0,0,86.7
1,8,171,0,7.22,0,0,0,0,0,88.5
1,8,172,0,6.89,0,0,0,0,0,90.1
1,8,173,0,6.63,0,0,0,0,0,91.3
1,8,174,0,6.46,0,0,0,0,0,91.7
1,8,175,0,6.4,0,0,0,0,0,91.1
1,8,176,0,6.7,6.4,3.68,3.68,3.68,3.68,89.7
1,8,177,0,7.24,43.33,24.91,24.91,24.91,24.91,87.1
1,8,178,0,7.88,159.61,140.06,142.75,69.96,69.96,83.6
1,8,179,0,8.58,118.79,68.3,68.3,68.3,68.3,79.7
1,8,180,0,9.29,273.32,146.91,216.98,119.79,119.79,76.1
1,8,181,0,9.98,287.37,125.95,226.08,129.04,125.95,73
1,8,182,0,10.6,266.79,116.93,212.8,149.74,116.93,70.7
1,8,183,0,11.09,215.87,94.62,179.73,151.81,94.62,69.9
1,8,184,0,11.3,145.11,63.6,133.33,136.23,63.6,70.2
1,8,185,0,11.07,35.78,20.57,20.57,20.57,20.57,71.5
1,8,186,0,10.54,0.42,0.18,91.02,187.34,0.18,73.4
1,8,187,0,9.96,0,0,0,0,0,76
1,8,188,0,9.6,0,0,0,0,0,78.7
1,8,189,0,9.5,0,0,0,0,0,81.5
1,8,190,0,9.11,0,0,0,0,0,84.2
1,8,191,0,8.45,0,0,0,0,0,86.8
1,9,192,0,7.73,0,0,0,0,0,89.2
1,9,193,0,7.14,0,0,0,0,0,91.3
1,9,194,0,6.9,0,0,0,0,0,92.8
1,9,195,0,6.84,0,0,0,0,0,94
1,9,196,0,6.7,0,0,0,0,0,94.6
1,9,197,0,6.55,0,0,0,0,0,94.8
1,9,198,0,6.46,0,0,0,0,0,94.6
1,9,199,0,6.5,0,0,0,0,0,94
1,9,200,0,6.7,2.46,1.41,1.41,1.41,1.41,92.9
1,9,201,0,7,16.21,9.32,9.32,9.32,9.32,91.4
1,9,202,0,7.36,31.09,17.88,17.88,17.88,17.88,89.8
1,9,203,0,7.74,44.29,25.47,25.47,25.47,25.47,88.1
1,9,204,0,8.12,53.18,30.58,30.58,30.58,30.58,86.4
1,9,205,0,8.45,55.9,32.14,32.14,32.14,32.14,84.9
1,9,206,0,8.7,51.91,29.85,29.85,29.85,29.85,83.9
1,9,207,0,8.85,42.02,24.16,24.16,24.16,24.16,83.3
1,9,208,0,8.91,28.28,16.26,16.26,16.26,16.26,83.1
1,9,209,0,8.91,13.4,7.71,7.71,7.71,7.71,83.1
1,9,210,0,8.86,0.15,0.09,0.09,0.09,0.09,83.4
1,9,211,0,8.78,0,0,0,0,0,83.7
1,9,212,0,8.7,0,0,0,0,0,83.9
1,9,213,0,8.63,0,0,0,0,0,84
1,9,214,0,8.58,0,0,0,0,0,83.9
1,9,215,0,8.52,0,0,0,0,0,84
1,10,216,0,8.46,0,0,0,0,0,84.2
1,10,217,0,8.39,0,0,0,0,0,84.4
1,10,218,0,8.3,0,0,0,0,0,85
1,10,219,0,8.19,0,0,0,0,0,85.9
1,10,220,0,8.06,0,0,0,0,0,86.9
1,10,221,0,7.94,0,0,0,0,0,87.8
1,10,222,0,7.85,0,0,0,0,0,88.2
1,10,223,0,7.79,0,0,0,0,0,88.1
1,10,224,0,7.8,7.65,4.4,4.4,4.4,4.4,87
1,10,225,0,7.89,112.66,157.2,126.28,48.55,48.55,84.7
1,10,226,0,8.11,215.55,192.02,195.15,92.9,92.9,81.9
1,10,227,0,8.52,306.81,206.91,255.22,132.24,132.24,78.7
1,10,228,0,9.19,368.2,197.02,295.27,158.7,158.7,75.7
1,10,229,0,10.16,169.01,97.18,97.18,97.18,97.18,73.3
1,10,230,0,11.5,156.96,90.25,90.25,90.25,90.25,72
1,10,231,0,12.6,127.12,73.09,73.09,73.09,73.09,72
1,10,232,0,12.3,85.64,49.24,49.24,49.24,49.24,73.4
1,10,233,0,11.59,93.26,40.19,113.52,149.87,40.19,75.5
1,10,234,0,10.73,1.59,0.68,66.6,137.84,0.68,78.2
1,10,235,0,9.98,0,0,0,0,0,81
1,10,236,0,9.6,0,0,0,0,0,84
1,10,237,0,9.6,0,0,0,0,0,86.5
1,10,238,0,9.19,0,0,0,0,0,88.8
1,10,239,0,8.39,0,0,0,0,0,90.5
1,11,240,0,7.47,0,0,0,0,0,92.4
1,11,241,0,6.71,0,0,0,0,0,93.6
1,11,242,0,6.4,0,0,0,0,0,94.3
1,11,243,0,6.24,0,0,0,0,0,94.9
